기온분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20220909~20221008

날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2022-09-09,108,24.3,18.9,30.8
2022-09-10,108,23.6,19,28.4
2022-09-11,108,23.3,20.6,26.4
2022-09-12,108,23.8,20.3,27.5
2022-09-13,108,24.3,21.8,26.4
2022-09-14,108,24.6,22.7,27.9
2022-09-15,108,25.2,22,28.3
2022-09-16,108,25.7,23.4,29.9
2022-09-17,108,25.6,23.3,29.4
2022-09-18,108,27.1,23,32.5
2022-09-19,108,24.6,19.5,29.6
2022-09-20,108,19.9,16.1,24.6
2022-09-21,108,19.4,13,25.6
2022-09-22,108,19.8,14.2,24.7
2022-09-23,108,17.5,14.7,22.2
2022-09-24,108,18.5,12.3,24.2
2022-09-25,108,19.6,15.4,25.2
2022-09-26,108,20,14.8,25.4
2022-09-27,108,20.9,14,28
2022-09-28,108,20.4,16.1,26.1
2022-09-29,108,20.4,16.4,26.5
2022-09-30,108,20.7,14.8,27.7
2022-10-01,108,20.9,14.4,27.6
2022-10-02,108,19.4,17.2,21.6
2022-10-03,108,21.4,17.5,23.4
2022-10-04,108,17.9,14.2,23
2022-10-05,108,16.6,14.1,21.6
2022-10-06,108,15.8,12.7,19.1
2022-10-07,108,14.3,11,18.6
2022-10-08,108,15.8,11.1,21.6

